,fps
0,15.13892187128948
1,15.146602436425958
2,24.13083337431243
3,24.09852140336493
4,24.075684073523437
5,24.077780374069146
6,24.13515687851971
7,24.109184121192527
8,24.122881376457425
9,24.09749792262949
10,24.132896223036447
11,24.12301389431694
12,24.093994926088126
13,24.080957886991506
14,24.10238273011881
15,24.091180966305576
16,24.102761474069084
17,24.126717717402705
18,24.09974697670839
19,24.102121581813314
20,24.07842687611076
21,24.083342125664586
22,24.121946612029003
23,24.087599734687306
